,s0,s1,Nβ0,Nβ1,mu,R,delta,L_tilde,r_tilde,u_tilde,s_tilde_approx,L_stilde_approx,L_stilde_error
3407,0.0,,1.410897501770593,,0.4077038519259628,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2871271704939713,0.06490494827174906
469,0.8875775155031006,0.8885775155031006,3.400109061021624,3.400107831680078,-0.5307653826913457,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.4478094478094476,0.1395339580315818,0.02842284692047073
1849,0.0,,1.5206909080009596,,0.8499249624812404,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.15032671961434027,0.03921560850322919
6606,1.932986597319464,,0.5333333326382765,,-0.3936968484242121,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.9329139329139327,0.7499998269949072,1.7300509269624342e-07
2021,,1.7083722744548908,,2.0249998523875683,-0.9789894947473736,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,1.7085937085937084,0.2222222158322104,6.390011825230246e-09
5025,0.1860372074414883,0.1870372074414883,0.8999999996745941,0.8999999778715042,0.0255127563781889,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,0.1859001859001859,0.3333333819568951,4.862356184354155e-08
1777,0.0,,1.5509552878701582,,0.7778889444722359,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.15020140234144447,0.03909029123033339
5702,0.0,0.001,0.8313843220058419,0.8313017240647267,0.7028514257128564,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.3779035759333043,0.044570242599971055
122,0.5059011802360472,1.3507345875256271,4.04999989996103,4.049999890059993,-0.8779389694847424,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.3509613509613507,0.11111115043577234,3.932466126344014e-08
1165,0.0,,1.9668353479907927,,0.1655827913956977,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14979995365274834,0.038688842541637264
6406,2.1298259651930387,,0.5333333232604086,,-0.5937968984492246,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.1295621295621294,0.7500000575391476,5.7539147668705937e-08
475,0.8845769153830766,0.8855769153830766,3.379870374556154,3.3798690486714933,-0.5247623811905953,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.4643694643694642,0.14000016202261356,0.028889050911502484
6177,2.3572714542908577,,0.5333333306879495,,-0.8229114557278641,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.357406357406357,0.7500000429745792,4.2974579339549734e-08
3152,0.0,,1.5501176785264108,,0.1525762881440719,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2870656887095036,0.06484346648728137
4978,0.4368873774754951,0.4378873774754951,0.8999999979433206,0.8999999555305453,-0.0215107553776888,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,0.4366124366124366,0.33333330037721637,3.295611689102529e-08
5457,0.0,0.001,0.8642440180360488,0.8641800830229215,0.4577288644322159,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.3778275033433064,0.04449417000997313
2109,,1.6033862772554508,,2.024999999950926,-0.8909454727363681,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,1.6033816033816033,0.22222219299476564,2.9227456593838852e-08
4596,,1.496000600120024,,0.8999999744480549,-0.4037018509254627,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,1.496197496197496,0.33333340247374094,6.914040767691532e-08
3791,0.0,,1.2618520730808076,,0.7918959479739869,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2874103267119837,0.06518810448976145
7813,0.9901980396079216,0.9911980396079216,0.5333333329804034,0.5333333128200891,0.8139069534767382,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,0.9900489900489899,0.7500001555627045,1.5556270460681532e-07
4655,,1.4012132426485298,,0.8999999554195824,-0.3446723361680841,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,1.4015054015054014,0.33333326686600484,6.646732841897318e-08
5095,0.0,0.001,0.8995252997134272,0.8995197397868709,0.0955477738869434,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.3777820326194547,0.04444869928612144
7457,1.2044408881776356,,0.5333333299080634,,0.4577288644322159,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.204153204153204,0.750000152902435,1.5290243515764246e-07
1132,0.0,,1.9997055333463367,,0.1325662831415706,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14979406504345663,0.038682953932345554
3880,0.0,,1.236250285939314,,0.8809404702351173,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.287544086369148,0.06532186414692578
3092,0.0,,1.5877894745442158,,0.0925462731365682,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2870569891482312,0.06483476692600895
1915,0.0,,1.4955164458318255,,0.9159579789894948,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.15046943811327915,0.03935832700216807
1592,0.0,,1.643896642096127,,0.5927963981990994,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14998665625549812,0.03887554514438704
2278,,1.35801900380076,,2.0249999779164427,-0.7218609304652326,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,1.3578973578973577,0.22222208745203598,1.3477018626084636e-07
6355,2.180236047209442,,0.5333333321476296,,-0.6448224112056029,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.18014618014618,0.7500000594972244,5.94972244805092e-08
964,0.0,0.001,2.1886921025586195,2.188627763074363,-0.0355177588794397,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.1497719168463575,0.03866080573524641
3997,0.0,,1.206910615029793,,0.9979989994997498,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2877867611142154,0.06556453889199318
7066,1.5069013802760551,,0.5333333326371911,,0.0665332666333164,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.5068135068135067,0.7499998789897118,1.2101028812327996e-07
1300,0.0,,1.8453908976461684,,0.3006503251625811,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14983244277623425,0.038721331665123176
7880,0.9559911982396478,0.9569911982396478,0.5333333332137234,0.5333333180020393,0.8809404702351173,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,0.9558929558929558,0.7499998912009991,1.087990008086237e-07
1123,0.0,,2.0089003209657124,,0.1235617808904452,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14979256848377237,0.03868145737266129
6631,1.9083816763352668,,0.5333333257989119,,-0.3686843421710856,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.9086179086179085,0.7500001763271378,1.763271378907305e-07
3469,0.0,,1.3821465064253924,,0.4697348674337167,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2871519698810269,0.06492974765880469
7838,0.976995399079816,0.977995399079816,0.5333333331972314,0.5333333215915301,0.8389194597298648,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,0.977092977092977,0.7500000321427085,3.214270860585344e-08
4561,,1.5475937187437487,,0.8999999975907921,-0.4387193596798401,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,1.5476495476495475,0.33333328095343495,5.237989830764178e-08
